Model,GPU UUID,Batch,Concurrency,Model Config Path,Instance Group,Satisfies Constraints,GPU Memory Usage (MB),GPU Utilization (%),GPU Power Usage (W)
unet34,GPU-a4c58681-b808-f91d-0254-f4bc9d22e81a,1,4,unet34_config_5,2:GPU,Yes,4034.9,100.0,59.7
unet34,GPU-a4c58681-b808-f91d-0254-f4bc9d22e81a,1,2,unet34_config_5,2:GPU,Yes,3279.9,84.5,55.8
unet34,GPU-a4c58681-b808-f91d-0254-f4bc9d22e81a,1,1,unet34_config_5,2:GPU,Yes,3279.9,89.8,59.7
unet34,GPU-a4c58681-b808-f91d-0254-f4bc9d22e81a,1,8,unet34_config_5,2:GPU,Yes,4282.4,90.0,54.0
unet34,GPU-a4c58681-b808-f91d-0254-f4bc9d22e81a,1,4,unet34_config_default,2:GPU,Yes,4034.9,90.0,56.1
unet34,GPU-a4c58681-b808-f91d-0254-f4bc9d22e81a,1,2,unet34_config_default,2:GPU,Yes,3657.4,85.3,55.7
unet34,GPU-a4c58681-b808-f91d-0254-f4bc9d22e81a,1,1,unet34_config_default,2:GPU,Yes,3279.9,88.8,59.6
unet34,GPU-a4c58681-b808-f91d-0254-f4bc9d22e81a,1,8,unet34_config_default,2:GPU,Yes,4244.6,98.7,58.5
unet34,GPU-a4c58681-b808-f91d-0254-f4bc9d22e81a,1,4,unet34_config_6,2:GPU,Yes,4034.9,89.2,55.7
unet34,GPU-a4c58681-b808-f91d-0254-f4bc9d22e81a,1,2,unet34_config_6,2:GPU,Yes,4034.9,91.8,59.3
unet34,GPU-a4c58681-b808-f91d-0254-f4bc9d22e81a,1,1,unet34_config_6,2:GPU,Yes,3279.9,89.6,59.6
unet34,GPU-a4c58681-b808-f91d-0254-f4bc9d22e81a,1,8,unet34_config_6,2:GPU,Yes,4286.6,87.8,53.2
unet34,GPU-a4c58681-b808-f91d-0254-f4bc9d22e81a,1,4,unet34_config_9,3:GPU,Yes,4162.8,90.0,56.2
unet34,GPU-a4c58681-b808-f91d-0254-f4bc9d22e81a,1,2,unet34_config_9,3:GPU,Yes,4162.8,83.6,55.7
unet34,GPU-a4c58681-b808-f91d-0254-f4bc9d22e81a,1,1,unet34_config_9,3:GPU,Yes,4162.8,89.1,59.7
unet34,GPU-a4c58681-b808-f91d-0254-f4bc9d22e81a,1,4,unet34_config_8,3:GPU,Yes,4162.8,89.3,56.1
unet34,GPU-a4c58681-b808-f91d-0254-f4bc9d22e81a,1,2,unet34_config_8,3:GPU,Yes,4162.8,88.7,55.8
