Model,Batch,Concurrency,Model Config Path,Instance Group,Max Batch Size,Satisfies Constraints,Throughput (infer/sec),p99 Latency (ms)
unet34,1,4,unet34_config_5,2:GPU,4,Yes,22.0,235.6
unet34,1,2,unet34_config_5,2:GPU,4,Yes,20.7,103.5
unet34,1,1,unet34_config_5,2:GPU,4,Yes,18.6,56.1
unet34,1,8,unet34_config_5,2:GPU,4,Yes,18.0,580.5
unet34,1,4,unet34_config_default,2:GPU,6,Yes,21.8,221.9
unet34,1,2,unet34_config_default,2:GPU,6,Yes,20.7,106.0
unet34,1,1,unet34_config_default,2:GPU,6,Yes,18.4,57.8
unet34,1,8,unet34_config_default,2:GPU,6,Yes,17.8,459.3
unet34,1,4,unet34_config_6,2:GPU,8,Yes,21.7,239.4
unet34,1,2,unet34_config_6,2:GPU,8,Yes,20.0,104.3
unet34,1,1,unet34_config_6,2:GPU,8,Yes,18.7,55.3
unet34,1,8,unet34_config_6,2:GPU,8,Yes,17.7,714.8
unet34,1,4,unet34_config_9,3:GPU,4,Yes,21.4,239.1
unet34,1,2,unet34_config_9,3:GPU,4,Yes,20.0,103.0
unet34,1,1,unet34_config_9,3:GPU,4,Yes,18.5,57.0
unet34,1,4,unet34_config_8,3:GPU,2,Yes,21.3,247.4
unet34,1,2,unet34_config_8,3:GPU,2,Yes,21.1,101.9
unet34,1,1,unet34_config_8,3:GPU,2,Yes,18.5,55.6
unet34,1,16,unet34_config_1,1:GPU,2,Yes,20.7,791.2
unet34,1,4,unet34_config_1,1:GPU,2,Yes,20.4,203.4
unet34,1,32,unet34_config_1,1:GPU,2,Yes,20.4,1585.4
unet34,1,8,unet34_config_1,1:GPU,2,Yes,20.3,397.5
unet34,1,2,unet34_config_1,1:GPU,2,Yes,19.4,106.4
unet34,1,1,unet34_config_1,1:GPU,2,Yes,18.4,57.1
unet34,1,16,unet34_config_2,1:GPU,4,Yes,20.6,852.0
unet34,1,4,unet34_config_2,1:GPU,4,Yes,20.4,200.3
unet34,1,8,unet34_config_2,1:GPU,4,Yes,20.1,491.2
unet34,1,2,unet34_config_2,1:GPU,4,Yes,19.7,103.7
unet34,1,1,unet34_config_2,1:GPU,4,Yes,17.9,59.3
unet34,1,16,unet34_config_0,1:GPU,1,Yes,19.7,822.3
unet34,1,8,unet34_config_0,1:GPU,1,Yes,19.6,410.4
unet34,1,4,unet34_config_0,1:GPU,1,Yes,19.4,208.2
unet34,1,2,unet34_config_0,1:GPU,1,Yes,19.4,105.5
unet34,1,1,unet34_config_0,1:GPU,1,Yes,18.4,56.0
unet34,1,1,unet34_config_7,3:GPU,1,Yes,18.6,55.0
unet34,1,1,unet34_config_4,2:GPU,2,Yes,18.5,55.2
unet34,1,1,unet34_config_10,3:GPU,8,Yes,18.5,55.0
unet34,1,1,unet34_config_3,2:GPU,1,Yes,18.3,58.5
unet34,1,1,unet34_config_11,4:GPU,1,Yes,15.2,86.5
unet34,1,1,unet34_config_12,4:GPU,2,Yes,15.1,88.4
unet34,1,1,unet34_config_13,5:GPU,1,Yes,15.0,80.9
unet34,1,1,unet34_config_14,5:GPU,2,Yes,14.5,86.3

